id,name,year,side,avg_bat_speed,swing_tilt,attack_angle,attack_direction,avg_intercept_y_vs_batter,competitive_swings,xwobacon,avg_swing_length,predicted_xwobacon,swing_plus,xwobacon_diff,Team,Age,BB%,K%,wOBA,wRC+,BABIP,Contact% (sc),Barrel%,HardHit%,EV90,EV50
665833,"Cruz, Oneil",2025,L,78.7,33.5,9.5,-7.8,35.5,711,0.47,7.8,0.441,116,0.029,PIT,26,0.120253164,0.3185654,0.303201282,91.03851922,0.263374485,0.67080745,0.19847328,0.57251908,114.3,107.8691228
665833,"Cruz, Oneil",2024,L,78.5,32.9,8.4,-6.7,35.3,879,0.462,7.7,0.474,123,-0.012,PIT,25,0.085141903,0.302170283,0.33101615,110.5437222,0.346938775,0.67302452,0.15659341,0.54945055,112.7,107.1993529
605204,"Davis, J.D.",2023,R,72.2,35.2,7.7,9.9,21.4,412,0.405,7.3,0.357,97,0.048,SFG,30,0.095238095,0.278388278,0.321226845,103.3530609,0.319620253,0.68406841,0.0952381,0.44345238,105.8,101.4370643
696285,"Young, Jacob",2024,R,68.2,31,6.6,5.5,27.2,707,0.319,6.9,0.326,90,-0.007,WSN,24,0.057581573,0.195777351,0.289607539,84.25535712,0.320547945,0.83095238,0.01591512,0.28912467,100.6,96.87214224
519317,"Stanton, Giancarlo",2023,R,81,27.7,8.4,-0.1,26.2,386,0.429,8.5,0.479,125,-0.05,NYY,33,0.09879518,0.29879518,0.296528566,87.5335741,0.209821428,0.67578659,0.15725806,0.47983871,112.4,106.1350215
650859,"Rengifo, Luis",2024,R,69.7,33.4,9.5,0.8,28.8,516,0.316,7.2,0.353,96,-0.037,LAA,27,0.052631578,0.144736842,0.334697789,118.638914,0.339055793,0.79104478,0.025,0.325,101.1,96.9891535
686894,"Wiemer, Joey",2023,R,71.7,23.6,9.8,-8.4,37.1,168,0.354,7.4,0.286,80,0.068,MIL,24,0.087804878,0.282926829,0.283698349,76.47959644,0.258333333,0.68096515,0.09090909,0.38735178,104.6,99.67538543
663457,"Nootbaar, Lars",2023,L,72.2,30.2,9.1,-1.9,31.1,300,0.39,7,0.37,100,0.02,STL,25,0.143141153,0.196819085,0.344194202,117.9443751,0.306962025,0.83765348,0.08761329,0.3776435,106.3,100.3342191
701538,"Merrill, Jackson",2024,L,72.2,37.4,6.2,0.8,26,1034,0.434,7.5,0.398,106,0.036,SDP,21,0.048903878,0.170320404,0.351507787,129.6803697,0.31797235,0.80971338,0.11255411,0.43939394,105.1,100.811785
682985,"Greene, Riley",2025,L,75.5,44.6,13.7,2.3,31.6,1035,0.491,7.2,0.487,126,0.004,DET,24,0.070397111,0.305054151,0.357037921,129.7023526,0.337620578,0.7139219,0.18075802,0.44897959,107.9,102.7246781
695578,"Wood, James",2025,L,76.1,40,10.9,1.5,32.9,868,0.499,7.7,0.465,121,0.034,WSN,22,0.128424657,0.306506849,0.357142041,129.6602207,0.348837209,0.69907881,0.15902141,0.54434251,111.9,106.0691911
669003,"Mitchell, Garrett",2024,L,75.7,33.6,10.7,4.3,29.3,341,0.411,7.4,0.45,118,-0.039,MIL,25,0.111607142,0.316964285,0.351237008,126.8242863,0.358974358,0.67783505,0.08661417,0.37007874,106,100.9520748
686681,"Massey, Michael",2024,L,70.9,32.5,12.9,-7,32.6,611,0.347,7.2,0.356,96,-0.009,KCR,26,0.042134831,0.15730337,0.31654116,103.4416692,0.270676691,0.8367052,0.07092199,0.36879433,102.1,98.39603115
592450,"Judge, Aaron",2024,R,77.1,39.8,14.4,-4.5,29.9,1010,0.623,8.2,0.592,150,0.031,NYY,32,0.188920454,0.242897727,0.475734001,219.6818684,0.367469879,0.71263419,0.2685422,0.60869565,111.4,107.2004357
656941,"Schwarber, Kyle",2023,L,77.1,29.7,13.1,-7.3,31.9,429,0.46,7.9,0.462,121,-0.002,PHI,30,0.175,0.298611111,0.350090749,118.0954565,0.208588957,0.70112945,0.16353887,0.48525469,108.1,103.3984901
687597,"Beck, Jordan",2024,R,71.4,32.6,10.5,-1.4,28.6,309,0.376,7.7,0.378,102,-0.002,COL,23,0.065217391,0.353260869,0.230904297,31.40622576,0.281553398,0.6954023,0.06603774,0.32075472,104.1,98.64348698
666624,"Morel, Christopher",2025,R,75.9,27.3,15.4,-10.4,35.2,474,0.465,8.3,0.462,121,0.003,TBR,26,0.07003891,0.365758754,0.297841613,87.32502146,0.315789473,0.62921348,0.16083916,0.48251748,108.7,102.9878818
660707,"Montero, Elehuris",2023,R,75.3,35.4,9.1,-14,36.7,350,0.362,7.7,0.348,95,0.014,COL,24,0.048859934,0.361563517,0.306487882,77.25340689,0.351515151,0.62459547,0.06818182,0.4375,106.3,101.0474318
660670,"Acuña Jr., Ronald",2023,R,77.3,34.6,6.8,5.2,30.6,481,0.493,7.4,0.43,113,0.063,ATL,25,0.108843537,0.114285714,0.427597162,171.4332651,0.3378119,0.82970451,0.15302491,0.55160142,111,106.3686896
664774,"Wade Jr., LaMonte",2024,L,72.4,32.2,9.3,-1.2,34.3,566,0.401,6.8,0.421,111,-0.02,SFG,30,0.154613466,0.224438902,0.337456482,119.25477,0.330508474,0.78026906,0.09387755,0.43673469,105.5,101.1648981
660271,"Ohtani, Shohei",2023,L,77.4,35.3,12.6,-2,27.5,322,0.543,7.9,0.505,130,0.038,LAA,28,0.151919866,0.238731218,0.433482268,180.6337835,0.341853035,0.70990991,0.19337017,0.53314917,111,105.7485591
543807,"Springer, George",2024,R,71.9,33.8,10.8,1,21.6,947,0.351,7.4,0.398,106,-0.047,TOR,34,0.097719869,0.187296416,0.298321294,94.15538145,0.244552058,0.76950355,0.09006928,0.36951501,105.4,99.896868
664728,"Isbel, Kyle",2023,L,71,22.9,5.5,-6.5,34.6,257,0.331,7.2,0.291,82,0.04,KCR,26,0.054313099,0.188498402,0.286093993,76.06319873,0.282608695,0.81679389,0.05508475,0.39830508,103.3,99.28089626
542932,"Berti, Jon",2025,R,72.2,29.1,2.3,9.1,22.8,156,0.334,7.4,0.343,93,-0.009,CHC,35,0.046728971,0.205607476,0.226142112,42.15345041,0.269230769,0.77297297,0.02564103,0.37179487,105,99.08616333
670242,"Wallner, Matt",2023,L,77.4,34.2,13.4,-1.1,35.4,386,0.499,7.5,0.538,138,-0.039,MIN,25,0.11023622,0.314960629,0.376930906,142.0806668,0.327731092,0.67073171,0.18796992,0.48120301,111,104.4893052
455117,"Maldonado, Martín",2025,R,71.2,31.8,15.1,-7.7,36.5,215,0.392,7.6,0.346,94,0.046,SDP,38,0.04968944,0.354037267,0.250758159,60.51416272,0.302325581,0.62549801,0.08333333,0.28125,103.6,97.99074955
606115,"Arcia, Orlando",2023,R,71.1,26.8,7.5,-3.9,30.3,394,0.345,7.7,0.291,82,0.054,ATL,28,0.073170731,0.191369606,0.321318155,100.1855008,0.301075268,0.7715736,0.06940874,0.40874036,103.4,99.18921793
650391,"Jiménez, Eloy",2023,R,75.2,24.7,6,-4.1,29.2,366,0.364,7.3,0.398,106,-0.034,CHW,26,0.061349693,0.190184049,0.324727025,105.459109,0.305475504,0.72197309,0.09315068,0.46575342,108.4,103.1730512
592450,"Judge, Aaron",2025,R,76.9,38.5,14.5,-6.3,30.8,868,0.595,8.1,0.573,146,0.022,NYY,33,0.172597864,0.254448398,0.448850865,193.7911061,0.378181818,0.67039674,0.23974763,0.55520505,110.7,106.342982
669701,"Smith, Josh",2024,L,70.2,37.5,13.1,-5.1,34.3,943,0.333,6.8,0.411,109,-0.078,TEX,26,0.077702702,0.204391891,0.322713497,112.1677494,0.311224489,0.79870729,0.03685504,0.36855037,102.5,98.30699771
665489,"Guerrero Jr., Vladimir",2024,R,75.9,28.6,3.2,-0.4,32.4,1044,0.448,7.7,0.402,107,0.046,TOR,25,0.103299856,0.137733142,0.397890223,164.1941995,0.342105263,0.80080321,0.13740458,0.54770992,110.4,105.6637208
673548,"Suzuki, Seiya",2023,R,72.4,31.5,4.7,1.4,30.7,441,0.425,7.1,0.354,96,0.071,CHC,28,0.101200686,0.222984562,0.358452736,127.831393,0.341397849,0.807,0.10459184,0.47959184,106.3,102.1570611
695657,"Montgomery, Colson",2025,L,77,33.1,11.9,-8.8,34.7,316,0.466,7.9,0.457,119,0.009,CHW,23,0.068571428,0.28,0.340077667,117.3680872,0.224489795,0.70487106,0.13274336,0.43362832,107.9,102.2672645
647351,"Toro, Abraham",2025,R,69.6,32,11.2,-2.8,35.5,482,0.331,7.6,0.348,95,-0.017,BOS,28,0.049295774,0.147887323,0.286147693,76.31161652,0.255813953,0.81318681,0.04504505,0.33783784,101.8,97.83336
670242,"Wallner, Matt",2024,L,77.3,32.2,11.9,-3.3,36,415,0.518,7.3,0.471,123,0.047,MIN,26,0.091954022,0.363984674,0.385238026,154.8372814,0.38938053,0.63821138,0.17460317,0.53174603,110.4,104.6119613
664056,"Bader, Harrison",2024,R,71.2,25.1,11.3,-5.5,33.6,644,0.348,7.1,0.347,94,0.001,NYM,30,0.048054919,0.217391304,0.285329004,84.56840484,0.275747508,0.77314211,0.06389776,0.3514377,103.5,98.68569026
600869,"Candelario, Jeimer",2023,R,69.3,35,12,-2.1,29.8,325,0.359,7.7,0.334,92,0.025,- - -,29,0.092013888,0.220486111,0.345868021,117.7145679,0.291666666,0.78119349,0.07832898,0.36292428,104.5,99.185208
660271,"Ohtani, Shohei",2025,L,76,37,15.5,-2.5,27.9,960,0.567,8,0.487,126,0.08,LAD,30,0.14893617,0.25695581,0.409639902,166.2575444,0.308917197,0.68022181,0.21944444,0.58333333,110.3,106.0662343
